symbol,name,price,pos_pct,ma20,ma60,ma200,long_trend,mid_trend,ma60_slope_pct,range_ratio,obv_change_60,up_dn_vol_ratio,has_spring,spring_low,has_utad,utad_high,cycle,phase,phase_detail,confidence,action,first_batch_pct,second_trigger,second_trigger_desc,stop_loss
NRG,NRG Energy,131.7,4.1,151.2,157.07,158.44,震荡,震荡,-0.77,0.72,-0.263,0.89,False,,False,,accumulation,A/B (筑底中),"底部区域,但形态还不明朗",低,⚠️ 暂不建仓,15,180.23,等待突破 180.23(确认 SOS)再建主仓,121.16
VST,Vistra (核电+数据中心),142.59,5.3,156.89,159.42,175.94,下跌,震荡,-0.39,0.76,-0.04,0.85,False,,False,,accumulation,A (止跌),"长跌后初步止跌,但还未确认企稳",中,⚠️ 暂不建仓,15,173.54,等待突破 173.54(确认 SOS)再建主仓,131.18
SMR,NuScale Power,12.32,7.2,12.37,11.9,24.24,下跌,震荡,-11.64,0.56,-1.892,1.08,True,9.65,False,,accumulation,C (Spring),"刚出现 Spring 假跌破 (9.65),最佳建仓点之一",高,✅ 强烈建仓,60,12.94,突破 12.94(+5%) 加仓,9.37
STEM,Stem Inc (AI 储能),8.95,11.5,10.41,10.32,15.21,震荡,下跌,-11.77,0.7,-0.07,1.25,False,,False,,accumulation,A/B (筑底中),"底部区域,但形态还不明朗",低,⚠️ 暂不建仓,15,12.64,等待突破 12.64(确认 SOS)再建主仓,8.23
EXE,Expand Energy,95.34,14.7,97.39,102.78,104.22,下跌,下跌,-2.89,0.46,-1.612,1.11,True,97.29,False,,accumulation,C (Spring),"刚出现 Spring 假跌破 (97.29),最佳建仓点之一",高,✅ 强烈建仓,60,100.11,突破 100.11(+5%) 加仓,94.37
CEG,Constellation Energy,277.71,20.6,302.15,301.66,325.98,震荡,震荡,2.63,0.87,-0.813,1.03,False,,False,,accumulation,A->B (筑底),脱离极低位但未确认突破,中,⚠️ 暂不建仓,15,338.66,等待突破 338.66(确认 SOS)再建主仓,255.49
PEG,Public Service,77.04,22.1,79.62,81.75,81.16,震荡,震荡,-0.58,0.55,-0.131,1.08,False,,False,,accumulation,B (吸筹震荡),"底部震荡,有吸筹特征",中,🟡 小仓位试探,30,83.82,突破 83.82 加 / 回踩 76.60 不破再加,71.24
OKLO,Oklo (微反应堆),70.99,25.4,70.91,62.1,86.48,震荡,震荡,-2.72,0.49,0.101,0.98,False,,False,,accumulation,B (吸筹震荡),"底部震荡,有吸筹特征",中,🟡 小仓位试探,30,83.13,突破 83.13 加 / 回踩 60.81 不破再加,56.55
603160.SS,汇顶科技,66.37,13.4,67.43,70.59,76.84,震荡,下跌,-6.22,0.54,0.06,1.02,True,64.38,False,,accumulation,C (Spring),"刚出现 Spring 假跌破 (64.38),最佳建仓点之一",高,✅ 强烈建仓,60,69.69,突破 69.69(+5%) 加仓,62.45
002230.SZ,科大讯飞,48.83,17.3,48.81,50.69,51.62,震荡,下跌,-6.03,0.31,0.007,1.09,True,45.36,False,,accumulation,C->D (Spring 已确认),"Spring 后已回升,SOS 信号待确认",高,✅ 趋势确认建仓,70,50.29,突破 50.29(+3%) 加仓,49.17
603690.SS,至纯科技,26.87,20.3,25.7,26.18,28.35,震荡,震荡,-6.58,0.58,0.056,1.24,True,23.67,False,,accumulation,C->D (Spring 已确认),"Spring 后已回升,SOS 信号待确认",高,✅ 趋势确认建仓,70,27.68,突破 27.68(+3%) 加仓,25.4
603893.SS,瑞芯微,179.43,36.4,177.11,170.39,180.81,震荡,震荡,-2.42,0.47,0.059,1.09,False,,False,,unclear,中位震荡,无明确方向,低,⚪ 观望,20,,无明确方向,165.08
